"ID","Description","RootCause","Fix","AntiPattern","Phase","DateFixed"
"BUG-165","Test failures after workspace load due to floating-point rounding","Reserve identity, cross-tab reconciliation, BS balance, and triangle ordering tests fail after workspace load. Root cause: Detail tab restored from CSV (finite precision), then SUMIFS formulas recalculate from those values. Multi-level aggregation (Detail->QS->FormulaTabs->BS) accumulates floating-point drift that exceeds tight tolerances. TOL=1 too strict for 50+ row SUMIFS chains. BS floor=$100 too strict for cascading formulas.","Increased TOL from 1 to 5 for aggregation tests (reserve identity, cross-tab, triangle). Increased BS balance tolerance floor from $100 to $500. Changed hardcoded diff<1 to diff<TOL in reserve and cross-tab tests. Curve tests (pure math, no aggregation) unchanged at PCT_TOL=0.001.","","Test Tolerance","2026-04-05"
"BUG-166","CFS Cash Reconciliation off by equity comp amount every quarter","BS_RE accumulates Net Income which deducts equity comp as expense. But equity comp is non-cash -- it reduces RE without reducing cash. CFS correctly adds equity comp back in CFO, but BS-derived cash (via INV_Q_POOL from BS_TOTAL_LE) does not include equity comp in equity. CFS_CHECK = EOQ_CASH - E_CASH = 45000 (exactly equity comp).","Added BS_APIC_EQ (Additional Paid-in Capital - Equity Comp) to Balance Sheet. Accumulates via {PREV_Q:BS_APIC_EQ}+STF_EQ_TOTAL. BS_EQUITY now = Paid-in + APIC_EQ + RE. APIC_EQ increases equity by equity comp amount each quarter, offsetting the NI reduction. Pool/Cash derivation now includes equity comp effect. BS rows shifted +1 (Total_LE=29, Check=30).","","CFS Balance","2026-04-06"
"BUG-167","Curve Reference tab shows identical curves for all 8 types","CurveRefPct UDF calls GetCurveLibraryCount which returns m_clCfgCount. When workbook is opened fresh (not through bootstrap), LoadAllConfig has not run so m_clCfgCount=0. m_fallbackMode is also False (default), so fallback to Config sheet is never reached. GetCurveParamsByTL finds 0 curves, returns default Weibull(5.2,0.8) for all 8 types. All curves render identically.","Changed GetCurveLibraryCount and GetCurveLibraryField to use fallback when m_clCfgCount=0 (regardless of m_fallbackMode). Now reads directly from Config sheet when in-memory arrays are empty. UDFs that evaluate before LoadAllConfig get correct curve parameters.","AP-45","Curve Reference","2026-04-06"
"BUG-168","BS #REF! cascade and IS Other Revenue #REF! after APIC_EQ addition","BS_SPACER4 left at row 27 after BS_EQUITY was moved to row 27 during BUG-166 fix. Spacer Label cell in col A overwrote BS_EQUITY RowID. BS_TOTAL_LE references {ROWID:BS_EQUITY} which resolves to 0 -> #REF!. Cascades to BS_CASH/BS_INVEST (via INV_Q_POOL from BS_TOTAL_LE), then to INV_Q_INC_NET -> REV_INVEST -> REV_OTHREV -> IS_OTHREV. All #REF! from Q2 onward because {PREV_Q:} chains through BS.","Removed duplicate BS_SPACER4 at row 27. BS_SPACER_EQ at row 28 is the correct spacer.","AP-08","Balance Sheet","2026-04-06"
"BUG-169","Staffing Expense Quarterly Total annual column shows Q4 instead of SUM","STF_Q_TOTAL had BalanceItem=TRUE which made annual column = Q4 value (EOP). Expense totals should SUM across quarters. Also, HC Input rows had no BalanceItem flag so annual headcount showed SUM(Q1:Q4)=8 instead of Q4=2.","Removed BalanceItem from STF_Q_TOTAL (expense flow). Added BalanceItem=TRUE to all 7 STF_HC_* Input rows. Extended KernelFormulaWriter Input annual logic to respect BalanceItem flag (Q4 for balance, SUM for flow). Changed STF_SEC_TOTAL from Label to Section so quarterly headers render.","AP-08","Staffing Expense","2026-04-06"
"BUG-170","Active Program Count #VALUE! on UWEX","SUMPRODUCT((OFFSET(range)>0)*1) causes #VALUE! when OFFSET range contains empty strings or mixed types. SUMPRODUCT array evaluation chokes on non-numeric comparisons.","Changed to COUNTIF(OFFSET(range),"">0"") which handles mixed types gracefully. COUNTIF ignores text/blank cells in the >0 comparison.","","UWEX Formula","2026-04-06"
"BUG-171","UW results empty after workspace load -- QS SUMIFS missing","LoadWorkspace restored Detail CSV and input tabs but did not regenerate Quarterly Summary SUMIFS or refresh formula tabs. QS tab was empty (no formulas from bootstrap). UWEX references QS via {REF:} which resolved to empty cells. All UW output tabs showed 0.","Added domain Initialize + RunRegisteredTransforms + RefreshFormulaTabs to LoadWorkspace when detail.csv exists. Rebuilds QS SUMIFS from restored Detail, then refreshes formula tabs so UWEX/IS/BS pick up the data.","AP-45","Workspace Load","2026-04-06"
"BUG-172","Staffing Expense errors on setup -- seed CSV had old 7-dept layout","Seed CSV in config_insurance/seed_inputs/ was copied from Base_Case_v2 which had 7 departments (no Reinsurance or Sales & Marketing). ImportTabFromCSV cleared the 9-dept tab and wrote 7-dept data. RowID mismatches caused #REF! in Total Headcount and Quarterly Total formulas.","Regenerated seed CSV with 9-department layout matching current formula_tab_config. Added Reinsurance and Sales & Marketing with seed headcount and salary data. Removed computed rows (formulas rebuilt by RefreshFormulaTabs).","","Staffing Expense","2026-04-06"
"BUG-173","Staffing/BS/CFS #REF! after seed import -- formula cells destroyed","ImportTabFromCSV does ws.Cells.ClearContents which destroys formula cells beyond the seed CSV rows. Staffing Expense seed CSV covers rows 1-50 but Quarterly Total Expense (rows 52-62) and EQ Total (row 65) formulas are destroyed. RefreshFormulaTabs should rebuild them but RunProjectionsEx was wrapped in On Error Resume Next and failures were swallowed silently.","Added explicit RefreshFormulaTabs call after SeedBaseModelInputs and after RunProjectionsEx in SeedStarterWorkspaces. Guarantees formula cells are rebuilt regardless of RunProjectionsEx success.","AP-45","Seed Import","2026-04-06"
"BUG-174","Setup takes 60+ seconds due to full RunProjectionsEx during bootstrap","SilentMode only suppressed MsgBoxes and auto-lock. All expensive post-computation steps still ran: ProveIt refresh, domain tests, AutoFitAllOutputTabs, GenerateAssumptionsRegister, WriteRunMetadata, AutoSaveOnRun. AutoFit alone takes 5-15s scanning all visible tabs.","Extended SilentMode to skip: ProveIt, presentations, domain tests, metadata, assumptions register, AutoFit, AutoSaveOnRun, and post-run tab navigation. Core computation + transforms + formula refresh still run. Estimated savings: 20-40 seconds.","","Setup Performance","2026-04-06"
"BUG-175","Setup compile error: Duplicate declaration in SeedStarterWorkspaces","Dim fso As Object declared twice in SeedStarterWorkspaces -- once in workspace existence check (line 884) and again in CopyFolder block (line 910). VBA does not allow duplicate Dim in the same Sub scope.","Removed second Dim fso declaration. Reuses the existing variable from the earlier block.","AP-34","Setup","2026-04-06"
"BUG-176","STF_Q_TOTAL #REF! -- forward RowID references fail in CreateFormulaTabs","ResolveRowID caches column A on first call per tab. During CreateFormulaTabs, RowIDs are written row-by-row in the same loop that writes formulas. STF_Q_TOTAL at row 62 resolves {ROWID:STF_EXP_UW} (row 53) but the cache was built before STF_EXP_UW RowID was written to column A. Cache contains stale data. All 9 {ROWID:STF_EXP_*} references resolve to 0 -> #REF!.","Added RowID pre-write pass: before the main row loop, iterate all config entries and write RowIDs to column A. When the first formula resolves and builds the cache, all RowIDs are already present. Forward references now work correctly.","AP-08","Formula Writer","2026-04-06"
"BUG-177","UW Inputs seed CSV has extra RowID column -- data shifts right on import","ExportTabToCSV captured RowIDs in column A of UW Inputs (written by domain engine). When ImportTabFromCSV imported the seed, RowIDs went to col A, pushing BU to col B, Program to col C. Program names appeared truncated because they were in the wrong column. Domain engine reads from fixed column positions (BU=A, Program=B, Term=C, WP=D+).","Stripped RowID column from UW_Inputs.csv seed. Now starts with BU,Program,Term matching the GenerateInputsTab layout.","AP-08","Seed Import","2026-04-06"
"BUG-178","XOL lines shown as negative with Less: prefix -- should be positive expense","XOL Written/Earned Premium and Total XOL RI Expense used =-{REF:} negation and Less: labels. XOL is an expense category, not an intra-group subtraction. Should show positive values like other expenses.","Removed Less: prefix from all 4 XOL labels. Removed =- negation from all 4 XOL formulas (now show positive). Adjusted XOLUPR accumulation formula (WP-EP with positive signs). Updated BS_XOL_PREP to direct reference (no negation). Net UW Result and Combined Ratio formulas unchanged (already subtract positive RIEXP correctly).","PD-05","XOL Presentation","2026-04-06"
"BUG-179","UW Program Detail missing GrandTotal and Tail columns","tab_registry had GrandTotal=FALSE and HasTailColumn=FALSE for UW Program Detail. No Y1-Y5 Total or Tail column generated.","Set GrandTotal=TRUE and HasTailColumn=TRUE in tab_registry for UW Program Detail.","","UW Program Detail","2026-04-06"
"BUG-180","Setup validation error -- UW Inputs seed CSV missing RowID column","BUG-177 fix incorrectly stripped the RowID column from UW_Inputs.csv seed. InsuranceDomainEngine expects RowIDs in col A (UWIN_COL_BU=2, UWIN_COL_NAME=3, UWIN_COL_TERM=4). Without RowIDs, data shifted left: BU went to col A, Program to col B, Term to col C. Engine read Term=3 as program name, WP=0 as term. Validate() failed with E-300. MsgBox not suppressed in SilentMode.","Restored RowID column to UW_Inputs.csv seed (87 RowIDs). Added SilentMode check to validation failure MsgBox in KernelEngine.","AP-08","Seed Import","2026-04-06"
"BUG-181","UW Inputs columns too narrow after seed import -- program names truncated","SilentMode skips AutoFitAllOutputTabs (BUG-174 optimization). Seed import via ImportTabFromCSV clears tab and writes raw values without AutoFit. Program names and section headers appear truncated because default column widths are too narrow for long text.","Added AutoFit loop for all visible tabs after silent RunProjectionsEx in SeedStarterWorkspaces.","","Seed Import","2026-04-06"
"BUG-182","Cross-tab {REF:} #REF! errors -- Expense Summary, Balance Sheet, CFS reference Staffing Expense","Per-tab RowID pre-write (BUG-176) only wrote RowIDs for the current tab being processed. Cross-tab {REF:} references look at OTHER tabs. If Staffing Expense was processed AFTER Expense Summary/BS/CFS, the target RowIDs (STF_Q_TOTAL, STF_EQ_TOTAL) did not exist when the {REF:} resolver scanned column A. EXP_STAFF, BS_APIC_EQ, CFS_EQCOMP all showed #REF!.","Replaced per-tab pre-write with GLOBAL pre-write pass. Before processing ANY tab formulas, iterate ALL tabs and write ALL RowIDs to column A. Clear cache once after global pre-write. All cross-tab references now resolve correctly regardless of tab processing order.","AP-45","Formula Writer","2026-04-06"
"BUG-183","Combined Ratio discrepancy between UWEX and PD -- PD excludes XOL expense","UWEX Combined Ratio = (NLLAE+NACQ+RIEXP)/NEP includes XOL RI expense. PD Combined Ratio = (NULT+NACQ)/NEP excludes XOL. Causes ~0.6% CR difference when XOL is active. Net UW Result on PD also excluded XOL.","Updated PD Total section: PD_NUWRES_TOTAL now subtracts UWEX_RIEXP (XOL). PD_CR_TOTAL now includes UWEX_RIEXP in numerator. Per-program CR unchanged (no per-program XOL metrics on Quarterly Summary). Total section now matches UWEX exactly.","","UW Program Detail","2026-04-06"
"BUG-184","Per-program XOL rows missing from UW Program Detail","UW Program Detail had no XOL expense rows in per-program waterfalls. Combined Ratio excluded XOL. Net UW Result excluded XOL at the per-program level. Only the Total section referenced UWEX aggregate XOL.","Added 3 XOL rows (CAT XOL EP, Other XOL EP, Total XOL RI Expense) to all 11 blocks (Total + Programs 1-10). Total section uses SUM of per-program XOL. Per-program XOL references QS_XC_EP_N and QS_XO_EP_N from Quarterly Summary. Updated Net UW Result and Combined Ratio formulas in all blocks to include XOL. 66 new config lines. Structural audit: 0 collisions, 0 orphan references, all blocks consistent.","","UW Program Detail","2026-04-06"
"BUG-185","Active Program Count shows 10 in Q1 Y1 -- counts Term column instead of WP","COUNTIF formula used COLUMN()+1 offset mapping UWEX col C(3) to UW Inputs col D(4) which is the Term(mo) column. All 10 programs have Term>0 so count=10. Should map to col E(5) = Q1Y1 WP. Correct offset is COLUMN()+2.","Changed ADDRESS offset from COLUMN()+1 to COLUMN()+2. UWEX col C(3)+2=5=col E=Q1Y1 WP on UW Inputs.","AP-08","UWEX Formula","2026-04-07"
"BUG-186","Active Program Count wrong after Y1 -- annual total columns shift UW Inputs column mapping","COUNTIF formula used COLUMN()+2 which is a fixed offset. UWEX has annual total columns every 5th column (Q1,Q2,Q3,Q4,YTotal) but UW Inputs has 20 consecutive quarterly WP columns. The fixed +2 offset gets progressively more wrong each year (off by 1 per annual column). By Y5, count reads Growth% column instead of Q4Y5 WP.","Changed to dynamic mapping: UW_col = 5 + COLUMN()-3 - INT((COLUMN()-3)/5). Subtracts the number of annual total columns encountered to compute the correct UW Inputs WP column for each UWEX quarterly column.","AP-08","UWEX Formula","2026-04-07"
"BUG-187","VBA compile error: KernelWorkspace.LoadWorkspace calls KernelTransform.RunRegisteredTransforms which does not exist","Method name drift. The public method in KernelTransform.bas is RunTransforms (line 87). KernelEngine.bas correctly uses RunTransforms in two call sites. KernelWorkspace.bas:252 incorrectly uses RunRegisteredTransforms. Surfaced during user Excel validation of the workspace load flow.","Renamed KernelTransform.RunRegisteredTransforms to KernelTransform.RunTransforms in KernelWorkspace.bas:252. Single-character fix.","","Audit 2026-04-19","2026-04-19"
"BUG-188","Parallel-structure divergence between UWEX_NACQ and EXP_NACQ (auditability)","UWEX_NACQ includes fronting fee (NCOMM+GFFE with GFFE stored negative, netting fronting INTO acquisition). EXP_NACQ excludes fronting fee (NCOMM only) because fronting flows as revenue via REV_FFE on the Income Statement. Net Income reconciles to UWEX_UWINC either way but a naive auditor would see the two differ and assume a bug.","Added explanatory comments to both cells documenting the split and the algebraic equivalence. No formula change; audit trail improvement only.","","Audit 2026-04-19","2026-04-19"
"BUG-189","Undercapitalization warning not visible on Investments tab","INV_Q_POOL can go negative when BS equity drops below other asset levels; prior comment said 'BS residual; negative = undercapitalized' but was terse. A user scanning the tab wouldn't grasp the implication.","Upgraded the comment on INV_Q_POOL to explicitly explain semantics, warn about meaningless results, and flag capital-adequacy risk. Cell-level conditional formatting to red-highlight negative values is recommended as a future Excel-side enhancement (not CSV-configurable).","","Audit 2026-04-19","2026-04-19"
"BUG-190","Corp sub-allocation absolute row refs stale after Phase 3 shift","Phase 3 inserted PROV_PCT at row 62 and shifted rows >= 62 by +1. Corp sub-alloc cells moved from rows 103-108 to 104-109. But absolute row references INSIDE formulas (RBC_R1 and RBC_CORP_SUB_TOTAL SUM) were NOT updated by the shift script -- it only touched the Row field of cells, not the Content field. Result: R1 read wrong Corp sub-alloc values (silently used ROW-103 Bond Mix Corporate % instead of Class 01 allocation), and the sum-check displayed 125% instead of 100%. User spotted the sum-check first.","Updated both formulas to $C$104:$C$109 in formula_tab_config.csv and config_insurance/formula_tab_config.csv. R1 formula: 6 hardcoded refs changed. SUM formula: range changed. Lesson for Phase 4: scanner bug class 6 should detect absolute row references whose target RowID has shifted vs expected. Bug-class-driven next audit iteration.","","Audit 2026-04-19","2026-04-19"
